Sample	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools: stats_mqc-generalstats-samtools_stats-error_rate	Samtools: stats_mqc-generalstats-samtools_stats-non_primary_alignments	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools: stats_mqc-generalstats-samtools_stats-raw_total_sequences	Samtools: flagstat_mqc-generalstats-samtools_flagstat-flagstat_total	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_output_reads	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_percent_passing	SortMeRNA_mqc-generalstats-sortmerna-rRNA_pct	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
A-2024-0142_L15_S92	3.3833204177245186e-05	93.29098381537005	0.002996889	3442412.0	86233225.0	100.0	100.0	0.1775881627991995	86233225.0	89675637	89675637	100.0	95.38	52984588.0	45067807	78.71														
A-2024-0142_L15_S92_1																		33.715164808922154	49.0	150.0	150	18.181818181818183	57946382.0	2.9672954655171417	52.831750232601436	49.0	142.23026105030746	145	18.181818181818183	57040155.0
A-2024-0142_L15_S92_2																	1.9039473157111864	33.77935672968077	50.0	150.0	150	18.181818181818183	57946382.0	3.1155930464750363	52.7046737415846	50.0	142.06050549827575	145	18.181818181818183	57040155.0
A-2024-0142_L17_S93	7.230856407086514e-06	93.4886827693973	0.003055345	2373914.0	61852046.0	100.0	100.0	0.17020455556150885	61852046.0	64225960	64225960	100.0	95.66	44007132.0	32270586	68.06														
A-2024-0142_L17_S93_1																		39.707591597293415	49.0	150.0	150	18.181818181818183	47783291.0	2.2849641498437547	55.66695090723874	49.0	142.776571024732	145	18.181818181818183	47189900.0
A-2024-0142_L17_S93_2																	1.7870550689872196	39.27776800720293	50.0	150.0	150	18.181818181818183	47783291.0	2.442207948871673	54.796724132426704	50.0	142.59618204319145	145	18.181818181818183	47189900.0
A-2024-0142_L1_S89	2.590214434643393e-05	93.21405878079551	0.003009576	3169842.0	78378595.0	100.0	100.0	0.18257408160990893	78378595.0	81548437	81548437	100.0	95.26	47569521.0	40986846	79.65														
A-2024-0142_L1_S89_1																		31.49850275030299	49.0	150.0	150	18.181818181818183	52036269.0	3.041129149416124	50.34100898231532	49.0	142.02684120104345	145	18.181818181818183	51264323.0
A-2024-0142_L1_S89_2																	1.8810684381806817	32.17618810148885	51.0	150.0	150	18.181818181818183	52036269.0	3.1895548693626328	51.177036870585916	50.0	141.84986660215915	145	18.181818181818183	51264323.0
A-2024-0142_L3_S94	4.009364765807298e-05	93.44877126383977	0.003058639	2752767.0	71717614.0	100.0	100.0	0.16040410937262917	71717614.0	74470381	74470381	100.0	95.59	51233514.0	37426175	67.75														
