Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
RSS0001495_2	54006710	2724070	5.043947316916731	51282640	94.95605268308327	0.04	21602.684	0.52	280834.892	0.06	32404.025999999998	0.4	216026.84	2.19	1182746.949	0.14	75609.39400000001	0.62	334841.602	1.07	577871.797
RSS0001496_1																					
RSS0001496_2	56015584	4242943	7.574576032269877	51772641	92.42542396773013	0.08	44812.4672	0.5	280077.92	0.12	67218.70079999999	0.65	364101.29600000003	3.21	1798100.2463999998	0.21	117632.7264	1.07	599366.7488000001	1.73	969069.6032
RSS0001497_1																					
RSS0001497_2	63218100	4090682	6.470744929063037	59127418	93.52925507093697	0.06	37930.85999999999	0.5	316090.5	0.09	56896.29	0.5	316090.5	2.95	1864933.9500000002	0.17	107470.77	0.89	562641.09	1.3	821835.3
RSS0001498_1																					
RSS0001498_2	54215456	3105782	5.728591492433449	51109674	94.27140850756655	0.05	27107.728	0.52	281920.3712	0.09	48793.9104	0.45	243969.55200000003	2.5	1355386.4000000001	0.16	86744.7296	0.76	412037.4656	1.21	656007.0176
RSS0001499_1																					
RSS0001499_2	64573120	3690926	5.715886114841593	60882194	94.2841138851584	0.04	25829.248	0.52	335780.224	0.07	45201.18400000001	0.43	277664.416	2.7	1743474.2400000002	0.15	96859.68000000001	0.65	419725.28	1.15	742590.88
RSS0001500_1																					
